EXEC_FULLNAME,EXECRANK,CO_PER_ROL,compustat_company,CEOANN,AGE,GVKEY,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,PCEO,TITLE,GENDER,CITY,STATE,NAICSDESC,TICKER,NAICS
Gerard J. Arpey,,14221,AMERICAN AIRLINES GROUP INC,CEO,51,1045,2010,20030425,,20111128,,Chairman and Chief Executive Officer,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Daniel P. Garton,,16477,AMERICAN AIRLINES GROUP INC,,52,1045,2010,,,,,Executive Vice President of Marketing and Executive Vice President of Marketing - American Airlines Inc,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Gary F. Kennedy,,29348,AMERICAN AIRLINES GROUP INC,,55,1045,2010,,,,,"Chief Compliance officer, Senior Vice President, General Counsel, Chief Compliance officer of American Airlines Inc, Senior Vice President of American Airlines Inc and General Counsel of American Airlines Inc",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Robert William Reding,,29349,AMERICAN AIRLINES GROUP INC,,60,1045,2010,,,,,executive vp-operations,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Thomas W. Horton,,33126,AMERICAN AIRLINES GROUP INC,,48,1045,2010,20111128,,20131209,,"Chairman, Chief Executive Officer and President",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Isabella Davidov Goren,,43629,AMERICAN AIRLINES GROUP INC,,49,1045,2010,,,,,,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Gerard J. Arpey,,14221,AMERICAN AIRLINES GROUP INC,CEO,52,1045,2011,20030425,,20111128,,Chairman and Chief Executive Officer,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Daniel P. Garton,,16477,AMERICAN AIRLINES GROUP INC,,53,1045,2011,,,,,Executive Vice President of Marketing and Executive Vice President of Marketing - American Airlines Inc,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Gary F. Kennedy,,29348,AMERICAN AIRLINES GROUP INC,,56,1045,2011,,,,,"Chief Compliance officer, Senior Vice President, General Counsel, Chief Compliance officer of American Airlines Inc, Senior Vice President of American Airlines Inc and General Counsel of American Airlines Inc",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Robert William Reding,,29349,AMERICAN AIRLINES GROUP INC,,61,1045,2011,,,,,executive vp-operations,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Thomas W. Horton,,33126,AMERICAN AIRLINES GROUP INC,,49,1045,2011,20111128,,20131209,,"Chairman, Chief Executive Officer and President",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Isabella Davidov Goren,,43629,AMERICAN AIRLINES GROUP INC,,50,1045,2011,,,,,,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Daniel P. Garton,,16477,AMERICAN AIRLINES GROUP INC,,54,1045,2012,,,,,Executive Vice President of Marketing and Executive Vice President of Marketing - American Airlines Inc,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Gary F. Kennedy,,29348,AMERICAN AIRLINES GROUP INC,,57,1045,2012,,,,,"Chief Compliance officer, Senior Vice President, General Counsel, Chief Compliance officer of American Airlines Inc, Senior Vice President of American Airlines Inc and General Counsel of American Airlines Inc",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Thomas W. Horton,,33126,AMERICAN AIRLINES GROUP INC,CEO,50,1045,2012,20111128,,20131209,,"Chairman, Chief Executive Officer and President",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Isabella Davidov Goren,,43629,AMERICAN AIRLINES GROUP INC,,51,1045,2012,,,,,,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
James B. Ream,,46951,AMERICAN AIRLINES GROUP INC,,56,1045,2012,,,,,"Senior Vice President of Operations, American",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
