,floyd_stance,floyd_followup,username,date,text,hash
2992,0,0,AmericanAir,5/4/20,"@FernandoAQuezad We always want to be as helpful as we can, Fernando. DM your booking code and further details for assistance.",1.01E+19
2993,0,0,AmericanAir,5/4/20,@LG3 We're so glad we could help!,5.02E+18
2994,0,0,AmericanAir,5/4/20,@MariaO543 We're so sorry that the conference was cancelled and the situation. We have a flexible waiver for non-refundable tickets.,1.21E+19
2995,0,0,AmericanAir,5/4/20,"@autisticb4mmr Refunds are offered if the flight is no longer operating. Otherwise, you can reuse the ticket with no charge for travel before 12/31/21.",9.10E+18
2996,0,0,AmericanAir,5/4/20,@autisticb4mmr It was too much to share here but much of the info can be found online: https://t.co/kNkPUilgez. We've responded via DM.,8.34E+18
2997,0,0,AmericanAir,5/4/20,@autisticb4mmr We see your DM and we're going to follow-up with you directly there.,2.72E+18
2998,0,0,AmericanAir,5/4/20,@CrazedCreative Thanks for working with us! We hope for another opportunity to fly with you soon.,5.47E+18
2999,0,0,AmericanAir,5/4/20,@YourAuntieSusan Please send us a DM with your ticket number. We'd like to take a look at the status of your refund.,2.82E+18
3000,0,0,AmericanAir,5/4/20,"@amdev83 We're offering a waiver of the change charge and travel can be anytime before the 31st of December, 2021. Please DM if we can help.",7.11E+18
3001,0,0,AmericanAir,5/4/20,@Kidhearder Please DM your record locator and more info. We'd really like to take a closer look.,9.34E+18
3002,0,0,AmericanAir,5/4/20,"@DArnone22 We're here to assist when you need us. Meet us in DMs, and we'll have a look at the options available.",2.17E+18
3003,0,0,AmericanAir,5/4/20,"@patrickrssll It is taking a bit longer than usual due to the current high volume. Please DM the ticket numbers, and we'll check on an update for you.",1.30E+19
3004,0,0,AmericanAir,5/4/20,"@PatWielandLIVE We hear your concerns. As of May 1, crew members will be wearing masks while in flight. They're not mandatory while out in the terminal.",6.86E+18
3005,0,0,AmericanAir,5/4/20,@DanyelleAllyce We never want to disappoint you and very much appreciate your loyalty. Please send us a DM with your record locator and details.,1.59E+19
3006,0,0,AmericanAir,5/4/20,@USKOTD We take our holidays seriously here! #MayTheFourthBeWithYou,1.27E+19
3007,0,0,AmericanAir,5/4/20,"@esegoviamattos We're happy to hear our #AATeam took excellent care of you, Eduardo. Come see us again soon!",1.25E+19
3008,0,0,AmericanAir,5/4/20,@Marshgeek We love these kudos to our #AATeam! We'll be sure to pass along your thanks to our leadership in Flight Service.,1.15E+19
3009,0,0,AmericanAir,5/4/20,@asymca We're glad we could help deliver these much needed packages to our heroes!,1.24E+19
3010,0,0,AmericanAir,5/4/20,@hope5030 Refunds are processed when a flight cancels and the tickets can be reused if it's still going. Here's more info: https://t.co/kNkPUilgez,1.82E+18
3011,0,0,AmericanAir,5/4/20,@AscioneChristie We love to honor our first responders. Please have the customer contact us directly via DMs and we'll take a look.,1.37E+19
3012,0,0,AmericanAir,5/4/20,"@autisticb4mmr We appreciate your feedback. The good news is, you can change the route of your ticket and we're waiving the change fee.",1.66E+19
3013,0,0,AmericanAir,5/4/20,"@JameelAlayyan Yes, we'll be providing masks to any customer that doesn't have their own.",1.61E+19
3014,0,0,AmericanAir,5/4/20,@lolojr Allowances are made for customers who can't wear the masks. Please speak to the flight attendant to explain what's going on.,1.64E+18
3015,0,0,AmericanAir,5/4/20,"@PatWielandLIVE Thanks, we'll be sure to pass this along to our airport team for further review.",1.48E+19
3016,0,0,AmericanAir,5/4/20,"@Xo_Flex If their flight was cancelled, yes they would qualify for a refund. If not, they get a credit instead and can rebook and travel by 12/31/21.",8.59E+18
3017,0,0,AmericanAir,5/4/20,@ZEarnest72 Aww. Thanks for sharing this inspirational story. We love this!,1.37E+19
3018,0,0,AmericanAir,5/4/20,@PatWielandLIVE That would be concerning; we'd like to pass your experience to our leadership. Please drop a DM to us and let us know what city this was in.,5.61E+18
3019,0,0,AmericanAir,5/4/20,@MicheleR3 Some middle seats are blocked to allow social distancing. We have limited food and beverage service at this time: https://t.co/3Mhe9FtTe6,1.75E+19
3020,0,0,AmericanAir,5/4/20,@wellimfuller We hear your concern. We're working to keep some of the middle seats open whenever possible.,7.78E+18
3021,0,0,AmericanAir,5/4/20,"@zggyzorgan We're assisting every customer as much as we can. We'll look forward to seeing you next summer, Morgan!",7.04E+18
3022,0,0,AmericanAir,5/4/20,@snuffy1277 Your kind words mean a lot to us. We're always here for you!,1.34E+19
3023,0,0,AmericanAir,5/4/20,"@mcand32 We've sent you a message in DMs, Mary. Please take a look.",9.53E+18
