floyd_stance,floyd_followup,username,date,text,hash
0,0,CocaColaCo,2020-05-07,"@brooklossman Sorry to hear that, Brook.  We'd like to help you. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #8008825075. Thanks for reaching out!",h65942614530949513
0,0,CocaColaCo,2020-05-08,@AtlanticCoke We appreciate all of your dedication to our communities during this time. We're all in this together.,h10841140526252947815
0,0,CocaColaCo,2020-05-08,@HCSOSheriff We appreciate all of your hard work and dedication to our communities during this time. Thank you!,h4528769703655272149
0,0,CocaColaCo,2020-05-08,@SalArmyPhilly Thanks for doing your part to help make the world a better place!,h16491051328630574602
0,0,CocaColaCo,2020-05-08,@CokeFlorida Thanks for doing your part to help make the world a better place!,h5664240180701733514
0,0,CocaColaCo,2020-05-08,@cocoapolice Thank you for your kind words. We're happy to give back in any way we can.,h1298482144443071934
0,0,CocaColaCo,2020-05-08,@MetroPlusHealth We're happy to help in any way we can. We're all in this together.,h7608449026975438222
0,0,CocaColaCo,2020-05-08,@QNS We're doing all we can for organizations that are supporting those on the front lines.,h4868635647257445371
0,0,CocaColaCo,2020-05-08,@AtlanticCoke Thanks for doing your part to help make the world a better place!,h13964454738020867940
0,0,CocaColaCo,2020-05-08,@MoonlighterMIA We're happy to help in any way we can. We're all in this together.,h1900306386337311699
0,0,CocaColaCo,2020-05-08,@SalArmyPhilly We're doing all we can for organizations that are supporting those on the front lines.,h788510539130206568
0,0,CocaColaCo,2020-05-08,"@karaderinger We’re sorry to hear that., Kara Please DM us with your business name and telephone, so we can follow up with you. Thanks for reaching out!",h17566400167650795574
0,0,CocaColaCo,2020-05-08,"@conor_j_fleming Hi Conor, could you please give us a call on 0800 22 77 11 (option 2) so we can look into this for you. Thanks.",h15278268487223946912
0,0,CocaColaCo,2020-05-08,"Lifting spirits and supporting everyday heroes. 

Read more about what our teams are doing around the world: https://t.co/OjPsrMUVDr https://t.co/oYjUiECCDa",h9934458511250418851
0,0,CocaColaCo,2020-05-09,"@sean_p_walsh Hello Sean! We ask that you send us a DM with your zip code, so we may further assist you.",h17002760530044861999
0,0,CocaColaCo,2020-05-10,"@elmerlikedaglue Sorry to hear that!  We'd like to help you. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #8008828876. Thanks for reaching out!",h5298507373570284553
0,0,CocaColaCo,2020-05-10,"@Signature1Media We could only spice things up for so long. Coke Cinnamon was a limited time offering over the holiday season, but we'll let the team know you want to see it again this year!",h9975135875965965332
0,0,CocaColaCo,2020-05-10,"@macro_spider The health and safety of our employees is our highest priority. With guidance from health authorities, we’ve taken significant steps to protect employees who are serving their communities. Learn more: https://t.co/tt1hS5UkM9",h8153558601877833547
0,0,CocaColaCo,2020-05-11,"@perfetto_john Our deepest sympathies go out to all who have been impacted by the coronavirus pandemic. We're focused on doing our part to prevent further spread of the virus, while supporting the needs of our employees, customers and communities.. Learn more: https://t.co/tt1hS5UkM9",h10482358911085170775
0,0,CocaColaCo,2020-05-11,"@joseramonmarmtz @SomosCocaCola @CocaColaMx @JoanPrats_ @MiguelMiraPM @AnpracAC Hi, Jose! Please contact our office in Mexico with your request at consumidor@coca-cola.com or call 52/5/262-2000. Thanks for reaching out!",h10962142472682551780
0,0,CocaColaCo,2020-05-11,"With communities still in need, we’re using our resources to help partners like @makersrespond create protective equipment across the U.S. Together, we’re donating and delivering hundreds of thousands of face shields– with more on the way. https://t.co/H9l5JmJlNd https://t.co/08O9Fk0zTB",h3804596313749558925
0,0,CocaColaCo,2020-05-11,@sassidyyyyyy Hi Cassidy! Sorry to hear that. Can you please send us a DM with your order number so we can assist you further? Thanks!,h17347057567161069737
0,0,CocaColaCo,2020-05-13,"@PhilaUnion We've always stood for togetherness, and this time is no different. ❤",h18056981012090356079
0,0,CocaColaCo,2020-05-13,"@ooshyangie We agree that price gouging is wrong and applaud the Consumer Brands Association in their efforts to report it. For information and ways to report price gouging, click here: https://t.co/BTmnhm1lIm",h12807153298367248902
0,0,CocaColaCo,2020-05-13,@HeartlandCoke This is what it's all about! We're all in this together.,h14643172830497457243
0,0,CocaColaCo,2020-05-13,@BGCCIL We appreciate all of your hard work and dedication to our communities during this time. Thank you!,h7880343075091775027
0,0,CocaColaCo,2020-05-13,"@CokeFlorida Together, we can make a difference. Thank you for your dedication to your communities during this time.",h13959478325560530637
0,0,CocaColaCo,2020-05-13,@OhioBeverage Thanks for doing your part to help make the world a better place!,h413792690711177422
0,0,CocaColaCo,2020-05-13,@ashawinter We would like to talk to you about your experience. Please call us at 1-800-438-2653.,h9126210523664904199
0,0,CocaColaCo,2020-05-13,@desiree95647658 Thanks for thinking of Coca-Cola for support. You can visit our Sponsorship page for information on how to submit your request: https://t.co/Sa6gEXCoXl. Good luck with your event!,h4545741730153946060
0,0,CocaColaCo,2020-05-13,@HeartlandCoke Thanks for doing your part to help make the world a better place! We're all in this together.,h10159212269184163961
0,0,CocaColaCo,2020-05-13,@MoonlighterMIA We're all in this together! Thank you @CokeFlorida for doing all you can to help us support those on the front lines.,h1733550249335335672
0,0,CocaColaCo,2020-05-13,"@CokeNortheast This is what it's all about! Together, we can make a difference.",h2393216483588498746
0,0,CocaColaCo,2020-05-13,@CocaColaSWB We appreciate all of your hard work and dedication to our communities during this time. Thank you!,h6365117202018551054
0,0,CocaColaCo,2020-05-13,@NYCHealthSystem Thank you for all that you do. We're all in this together.,h12280749261987467262
0,0,CocaColaCo,2020-05-13,@KennedyKrieger We're committed to doing all we can to give back to those on the front lines. Thank you for all that you do.,h14320002765675972351
0,0,CocaColaCo,2020-05-14,"@ashawinter Hi, Asha. Please send us a private message with your reference number so that we may assist you further.",h18255278908491590520
0,0,CocaColaCo,2020-05-14,"@BobMikeJohn Sorry to hear that, Mike.  We'd like to help you. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #8008835677. Thanks for reaching out!",h12533588609075663543
0,0,CocaColaCo,2020-05-14,"Coca-Cola teams with #BeApp to #livestream performances from 100+ musical artists over 60 days.  #CokeStudioSessions #music 
https://t.co/2q7627rn5Y",h4180662896684022373
0,0,CocaColaCo,2020-05-15,@MountCarmel We're happy to help in any way we can. We're all in this together.,h5088751514880786724
0,0,CocaColaCo,2020-05-15,"@DaytonaBchPD We've always stood for togetherness, and this time is no different.",h18037792009776169999
0,0,CocaColaCo,2020-05-15,@HernandoSheriff Thank you for helping keep your communities safe during this time. We're all in this together.,h2849623160421573707
0,0,CocaColaCo,2020-05-15,@eBHC Thank you for all that you do. We're all in this together!,h4069116379967022192
0,0,CocaColaCo,2020-05-15,@BrownsburgFire We appreciate your hard work and dedication to keeping your communities safe during this time. We're all in this together.,h7284503769390122028
0,0,CocaColaCo,2020-05-15,@AACO_OEM We appreciate all of your hard work and dedication to our communities during this time. Thank you!,h1053759477902447056
0,0,CocaColaCo,2020-05-15,@TGHCares Thank you for all that you do. We're committed to doing all we can to give back to those on the front lines.,h17358912979232816093
0,0,CocaColaCo,2020-05-15,"@MIsoftdrink We're doing all we can to give back to our communities and those on the front lines. Together, we can make a difference.",h12947544862090118996
0,0,CocaColaCo,2020-05-15,@OCFireRescue We appreciate all of your hard work and dedication to keeping our communities safe during this time. Thank you!,h2932826448805172230
0,0,CocaColaCo,2020-05-15,"@celticbenrich Hello Ben, there appears to be some Coca-Cola Orange Vanilla Zero Sugar
 at the following locations:

MEIJER 4600 S Hurstbourne Pkwy, Louisville, KY 40299, USA
TARGET 4174 Westport Rd, St Matthews, KY 40207, USA

Please call to confirm availability.",h16812987447632513616
0,0,CocaColaCo,2020-05-15,"@Namita_NV We are sorry to hear this. Please contact our office in India via:
Consumer Line:  1800-208-2653
Consumer Email:  indiahelpline@coca-cola.com
Best wishes!",h16005716684844071418
0,0,CocaColaCo,2020-05-15,"@tweetkylitweet Our Company has always been consumer-oriented, and the opinions of our consumers are very important to us, especially in areas such as advertising. We respect your opinions, and sincerely appreciate your taking the time to share them with us. Your comments have been shared.",h17729058054276362761
0,0,CocaColaCo,2020-05-15,"Excited to announce the launch of #CokeStudioSessions, an exclusive #musicstreaming collaboration featuring a diverse line-up of performances for 60 consecutive days.

https://t.co/dEzbmZyvXG",h15121896542773552213
0,0,CocaColaCo,2020-05-15,"Red Cross and Red Crescent teams work on the front lines to support communities responding to the impacts of COVID-19.

The #CocaColaFoundation has awarded nearly $14M in grants in 60+ countries @ICRC @ifrc @redcross. Learn more: https://t.co/Olhop9ICzu https://t.co/cEGpFt7MXO",h8905635376001003707
