,floyd_stance,floyd_followup,username,date,text,tweet_id
26102,0,0,MarathonPetroCo,5/5/20,"“You can't blend in if you were born to stand out."" 
 -R.J. Palacio, Wonder 

We agree-- and our people are lighting the way to a brighter tomorrow!

#InspireTomorrow #ProudToBeMPC #InThisTogether https://t.co/fjhMbGjbJe",t1257648525023809537
26103,0,0,MarathonPetroCo,5/6/20,"We couldn't let today pass without acknowledging our incredible nurses at #MPC today, and to all nurses out there on this #NationalNursesDay!

Today, more than ever, your dedication and sacrifice inspire us all. 

#ThankYou from all of us at Marathon Petroleum! https://t.co/An33pi6Amc",t1258134582379110402
26104,0,0,MarathonPetroCo,5/7/20,"“Life is a #Marathon, not a #Sprint.”
We couldn’t agree more! 🏃🏽‍♀️🏃🏼‍♂️🏃🏿‍♀️
Happy #ThrowbackThursday 
#TheBestInTheLongRun
#ProudToBeMPC 🇺🇸
#vintageMPC
#Vintage 
#MPC https://t.co/NjBnU8oQ3b",t1258524762835349504
26105,0,0,MarathonPetroCo,5/7/20,"We want to give our very own, Paige Lewis-Dykema, a #ShoutOut, from our refinery in Kenai, #Alaska, Paige has been busy making homemade face masks by the dozens for coworkers, friends and family.

Already, she's made 150 masks and says she has no plans of stopping now.

#ThankYou https://t.co/vR9fVi2zuJ",t1258447262117699589
26106,0,0,MarathonPetroCo,5/8/20,"Not the best shots, but here are two photos from our team stationed at the #Findlay Airport &amp; Blanchard Valley Hospital Thursday for the @180thFW Salute to Heroes flyover, part of #OperationAmericanResolve 🇺🇸

Still an awesome sight! #InThisTogether #FrontLineHeroes https://t.co/EJ5jxDExw0",t1258734028259315713
26107,0,0,MarathonPetroCo,5/10/20,Happy Mother’s Day ♥️ https://t.co/xhBVgLWY7g,t1259470961931431939
26108,0,0,MarathonPetroCo,5/10/20,"To all of the mothers out there, #HappyMothersDay from all of us at #MarathonPetroleum, we so appreciate you ❤️♥️❤️ https://t.co/fBv9Yu4Z5U",t1259332816367693825
26109,0,0,MarathonPetroCo,5/11/20,"To law enforcement officers everywhere, #ThankYou from all of us at #MPC 🇺🇸

#NationalPoliceWeek🚨
#EssentialServices 🚔
#InThisTogether 💪🏾 https://t.co/ORdfp7Arhk",t1259872507831767040
26110,0,0,MarathonPetroCo,5/14/20,"#NewProfilePic 
         #ProudToBeMPC
                      #InspireTomorrow
                                   #InThisTogether https://t.co/jNzbypOX6e",t1261024609597632512
26111,0,0,MarathonPetroCo,5/14/20,"Thank You to MPC’s #TruckDrivers &amp; to all truck drivers out there for moving #AmericaForward, today, and everyday—&gt;We appreciate you. #ProudToBeMPC https://t.co/Y4s2TJbk6s",t1260908281716973568
